false_positive_span,frequency
pdf,4
κλικ,4
reset,3
estaos xuníos,3
click,3
bat,3
app,3
chat,3
irc,2
picture,2
element,2
link,2
burua,2
medicina,2
superficie,2
dixital,2
server,2
zen,2
desberdinak,2
estructures,2
gran este,2
izen,2
portable,2
document,2
log,2
vehículu,2
puntu,2
format,2
api,2
tierra,2
ez,2
estatu,2
da,2
tag,2
gui,2
interface,2
udalerria,2
αγγλία,2
γερμανίας,2
σωλήνα,2
tweet,2
xchat,2
οθόνη,2
stream,2
nearfuture,1
bitly,1
delicious,1
φρανς ποστ,1
άλμπερτ έκχαουτ,1
albert eckhout,1
