false_positive_span,frequency
pdf,4
κλικ,3
οθόνη,3
reset,3
picture,3
element,3
click,3
estaos xuníos,3
app,3
chat,3
vehículu,2
zen,2
tag,2
ολλανδίας,2
γερμανίας,2
desberdinak,2
interface,2
medicina,2
gui,2
estructures,2
gran este,2
izen,2
tweet,2
irc,2
αγγλία,2
stream,2
superficie,2
ez,2
log,2
udalerria,2
api,2
puntu,2
burua,2
tierra,2
format,2
σωλήνα,2
persones,2
dixital,2
document,2
portable,2
estatu,2
παρατηρητή,1
κατακόρυφος,1
δαχομέη,1
atchison savings bank,1
κισος,1
free,1
hacker,1
καλιφόρνια,1
τζέφρεϊ,1
