lang;term;sentence;IS_VALID_LOAN;OTHER_LOANS;NOTES;type;source_page
ast;tiza;"Debíu a la conquista británica caltiénense un gran númberu d'anglicismos como por exemplu ""xoc"" ('tiza', n'inglés chalk; en catalán estándar ""guix"").";;;;wiktionary_es;Menorca
ast;pixeles;Tien una pantalla de 7.9 pulgaes, un procesador A5 (el mesmu que'l iPad 2), una cámara FaceTime con 1.2 Mpx (cámara fronteru), una cámara iSight con grabación de videos a 1080p de 5 Mpx (cámara trasera), teunoloxía de redes móviles 4G LTE, amás de tener equivalencia a un procesador de doble nucleu y más de 275 000 aplicaciones llistes pa descargar dende la App Store por cuenta de que tien el mesma resolución que l'iPad 2, 1024 × 768 pixeles con una densidá de 163 ppp.;;;;noun_plural_native;IPad
ast;filme;En 1985, torna a Nueva York pa rodar un filme más acorde a lo que xeneralmente s'espera d'él, una semeya de los baxos fondos neoyorquinos.;;;;wiktionary_en;Martin Scorsese
ast;cangrexu;El cangrexu de ríu (xen.;;;;wiktionary_es;Carcinus maenas
ast;tags;L'usu de la norma foi sofitáu por IETF language tags, introducíu por RFC 1766 en marzu de 1995, y siguíu por RFC 3066 en xineru de 2001 y por RFC 4646 en setiembre de 2006.;;;;noun_plural_english;ISO 639-1
ast;cucaracha;De forma escepcional la cucaracha oriental ye atraida pola lluz.;;;;wiktionary_es;Cucaracha
ast;cudiar;El so nome vien del llatín medicina: 'cudiar', 'guarir', 'alicar'.;;;;wiktionary_es;Medicina
ast;tag;Presentación previa Defensor del títulu:  Alain Prost Constructor defensor:  Mc Laren/TAG Porsche  Escuderíes y pilotos La siguiente tabla amuesa los pilotos confirmaos pal Mundial 1986 de F1, ordenaos según la clasificación del campeonatu de constructores de la temporada anterior.;;;;noun_raw;Temporada 1986 de Fórmula 1
ast;añoranza;Col intre del tiempu entamen ceremonies y comíes coleutives pa conmemorar l'asesinatu místicu, en añoranza del padre asesináu.;;;;wiktionary_es;Psicoloxía de la relixón
ast;chats;Pero nun ye sinón hasta los años ´90 cuando se desenvuelven de forma esponencial, gracies al llevantamientu de la prohibición del usu comercial d'Internet, a la nacencia de la World Wide Web (WWW) y la xeneralización de ferramientes como'l corréu electrónicu, los chats y la mensaxería instantánea.;;;;noun_plural_english;Comunidá virtual
ast;interface;Esti averamientu ye pa caltener la interface gráfica d'usuariu lo más cenciello dable, conforme coles Human Interface Guidelines.;;;;noun_raw;GParted
ast;brazalete;El brazalete lleva una resistencia de 1 MOhm, coneutada en serie pa llindar la corriente de cortucircuitu, protexendo al usuariu si tocar cualquier aparatu o componente coneutaos a la rede llétrica.;;;;wiktionary_es;Brazalete antiestáticu
ast;falda;falda vaquera, con un diseñu paecíu al de los pantalones vaqueros na so parte cimera.;;;;wiktionary_es;Falda
ast;Alexandru;C.: Alexandru Magnu funda Alexandría n'Exiptu.;;;;wiktionary_es;Sieglu IV e.C.
