lang;term;sentence;IS_VALID_LOAN;OTHER_LOANS;NOTES;category;type;source_page
ast;conciencia;Franz Jägerstätter, oxetor de conciencia.;;;;established;wiktionary_es;Decapitamientu
ast;Alexandru;Persones relevantes Alexandru Magnu (356-323 e.;;;;established;wiktionary_es;Sieglu IV e.C.
ast;rodiya;Davezu empléguense como “armes” una mano o un pie (que tienen distintes superficies de contautu posibles), pero tamién pueden usase los deos de les manes o de los pies, la cabeza, el coldu, un nudiellu, o una rodiya.;;;;established;wiktionary_es;Rompimientos (artes marciales)
ast;furacán;El Furacán de Galveston de 1900, que fizo entrada en tierra en Galveston (Texas) con una estimación de Categoría 4, acabó cola vida de 8.000 a 12.000 persones y sigue siendo'l desastre natural más mortíferu na hestoria d'Estaos Xuníos.;;;;established;wiktionary_es;Ciclón tropical
ast;usté;La historia clasifícase  Disciplines y ciencies auxiliares de la historia  Arqueoloxía Epigrafía Historiografía Numismática  Referencies Ver tamién Repertoriu de fechos  Nota: Si usté fai dalguna aportación nesti sen en Wikipedia, rogamos-y que consulte primero la seición de plantilles de cronoloxía, pa asina algamar una coherencia ente tolos autores.;;;;established;wiktionary_es;Historia
ast;lladriyu;Los materiales emplegaos na so construcción pueden ser de piedra, llamaos doveles, lladriyu, aceru, formigón armao, etcétera.;;;;established;wiktionary_es;Bóveda
ast;planchar;Notes d'usu Planchar tán disponibles como un productu de consumu a precios accesibles.;;;;established;wiktionary_es;Plancha de ropa
ast;aguacate;En Colombia l'aguacate más estendíu ye de piel verde y carne mariello.;;;;established;wiktionary_es;Persea americana
ast;dotor;Referencies Enllaces esternos Carlos Dotor na Internet Movie Database (n'inglés) Carlos Dotor en BDFutbol (castellán) Carlos Dotor en LaPreferente (castellán) Carlos Dotor en Soccerway (n'inglés) Carlos Dotor en Transfermarkt (n'inglés) Carlos Dotor en L'Équipe (en francés);;;;established;wiktionary_es;Carlos Dotor
ast;filme;Sicasí, el respaldu que delles figures del mundu políticu diéron-y a esta película dio credibilidá y prestíu al filme.;;;;established;wiktionary_en;Martin Scorsese
ast;nivel;La Llista Roxa d'Especies Amenazaes de la UICN (tamién denominada en delles ocasiones como'l Llibru Coloráu), creada en 1963, ye l'inventariu más completu del Estáu de caltenimientu d'especies d'animales y plantes a nivel mundial.;;;;established;wiktionary_es;Llista Bermeya de la UICN
ast;arzobispu;Tomás Becket (1118-1170): santu y mártir, arzobispu de Canterbury.;;;;established;wiktionary_es;Sieglu XII
ast;cangrexu;Mitoloxía Yera un pequeñu cangrexu qu'unvió la diosa Hera p'acabar cola vida d'Heracles mentanto esti lluchaba escontra la Hidra.;;;;established;wiktionary_es;Cáncer (constelación)
ast;tiza;Cuatro estrato xeolóxicos, sedimentos marinos previstos 90-100 con tiza en superior y mediu percima de la tiza más baxa llixeramente permeable y finalmente impermeables y un estratu arenosu.;;;;established;wiktionary_es;Eurotúnel
ast;guai;Empléguense tamién otres armes más convencionales, como'l palu (gun), llanza (qiang), cayada (guai), espada de ganchu (gou) y la espada reuta y de doble filu (jian).;;;;established;wiktionary_es;Bagua
ast;polu;Tolos planetes y satélites tienen un polu Norte que defínese d'esta manera y que nun ye necesariamente perpendicular al exe de tresllación (por exemplu na Tierra tien un ángulu de 23,5 º y n'Uranu de 90 º).;;;;established;wiktionary_en;Polu Norte
ast;paella;"Iberus gualtieranus alonensis, la baqueta o serrana, apreciadísima na Comunidá Valenciana, Rexón de Murcia y sur de Cataluña y Aragón; utilícense especialmente pa la ellaboración de la paella.";;;;established;wiktionary_es;Cascoxu
